time_namelookup,time_connect,time_pretransfer,time_starttransfer,time_total
0.000956,0.001079,0.001188,0.029274,0.029337
0.001031,0.001162,0.001223,0.020663,0.020740
0.001011,0.001126,0.001187,0.025225,0.025287
0.000855,0.000982,0.001036,0.033769,0.033835
0.000954,0.001075,0.001137,0.026710,0.026768
0.000920,0.001033,0.001093,0.024332,0.024390
0.000994,0.001108,0.001166,0.028181,0.028250
0.000817,0.000973,0.001044,0.021404,0.021457
0.001482,0.001597,0.001657,0.022017,0.022080
0.000925,0.001087,0.001155,0.026269,0.026329
0.000926,0.001031,0.001094,0.023870,0.023926
0.000915,0.001035,0.001096,0.020474,0.020532
0.000877,0.000998,0.001065,0.020587,0.020643
0.001075,0.001183,0.001251,0.026620,0.026678
0.000930,0.001047,0.001110,0.020374,0.020456
0.000992,0.001101,0.001155,0.028854,0.028923
0.001070,0.001196,0.001274,0.024273,0.024798
0.001831,0.001950,0.002022,0.035994,0.036072
0.001040,0.001163,0.001226,0.026617,0.026736
0.001079,0.001194,0.001251,0.028703,0.028780
0.000815,0.000917,0.000970,0.020519,0.020579
0.001006,0.001119,0.001179,0.024431,0.024486
0.000761,0.000869,0.000924,0.028473,0.028531
0.001788,0.001909,0.001977,0.032138,0.032196
0.000812,0.000912,0.000971,0.030075,0.030144
0.000857,0.000980,0.001045,0.028100,0.028156
0.002550,0.002669,0.002735,0.031555,0.031844
0.000886,0.001000,0.001066,0.024290,0.024355
0.001104,0.001220,0.001281,0.027839,0.027906
0.000948,0.001064,0.001123,0.032646,0.032722
0.000901,0.001012,0.001077,0.028075,0.028127
0.001506,0.001635,0.001700,0.021530,0.021601
0.001860,0.001986,0.002068,0.032279,0.032347
0.000916,0.001030,0.001084,0.026407,0.026480
0.000963,0.001080,0.001157,0.031442,0.031508
0.000833,0.000941,0.000994,0.024257,0.024311
0.000865,0.000969,0.001042,0.028216,0.028281
0.000881,0.000983,0.001044,0.025692,0.025755
0.000780,0.000892,0.000952,0.027242,0.027309
0.000963,0.001085,0.001150,0.023004,0.023071
0.000867,0.000961,0.001019,0.023926,0.023992
0.000799,0.000908,0.000968,0.024331,0.024400
0.000904,0.001011,0.001070,0.019730,0.019802
0.000808,0.000937,0.001002,0.029558,0.029623
0.000965,0.001083,0.001139,0.024174,0.024241
0.001063,0.001185,0.001243,0.024407,0.024477
0.000912,0.001023,0.001084,0.037213,0.037272
0.002915,0.003031,0.003095,0.030214,0.030280
0.001018,0.001158,0.001229,0.060906,0.060972
0.001118,0.001241,0.001305,0.024812,0.024870
0.000761,0.000881,0.000947,0.020200,0.020255
0.000843,0.000965,0.001035,0.024174,0.024226
0.000887,0.000997,0.001060,0.034484,0.034555
0.000874,0.000979,0.001043,0.020538,0.020605
0.000883,0.001009,0.001079,0.026752,0.027669
0.000716,0.000842,0.000909,0.018712,0.018780
0.000897,0.001007,0.001071,0.019179,0.019234
0.000908,0.001021,0.001087,0.025799,0.025867
0.000987,0.001107,0.001165,0.025574,0.025652
0.000864,0.000988,0.001052,0.027920,0.028005
0.001029,0.001145,0.001204,0.027983,0.028056
0.000885,0.000995,0.001058,0.023822,0.023895
0.001075,0.001187,0.001246,0.027824,0.027882
0.000956,0.001098,0.001166,0.028613,0.028683
0.003256,0.003363,0.003415,0.030714,0.030775
0.000802,0.000916,0.000971,0.025397,0.025477
0.000964,0.001073,0.001134,0.024570,0.024634
0.000853,0.000965,0.001031,0.025682,0.025738
0.000971,0.001084,0.001141,0.031153,0.031216
0.001163,0.001281,0.001341,0.025379,0.025442
0.000859,0.000956,0.001021,0.028684,0.028750
0.000902,0.001014,0.001077,0.023931,0.023986
0.000871,0.001593,0.001690,0.025334,0.025390
0.000918,0.001039,0.001098,0.030295,0.030367
0.000885,0.001000,0.001060,0.030116,0.030193
0.001114,0.001232,0.001291,0.029529,0.029596
0.000875,0.000984,0.001040,0.021474,0.021531
0.002374,0.002508,0.002581,0.030706,0.030791
0.000980,0.001113,0.001176,0.025156,0.025213
0.001014,0.001131,0.001190,0.025606,0.025665
0.000841,0.000951,0.001011,0.028687,0.028746
0.000866,0.000973,0.001036,0.031798,0.031856
0.000888,0.000998,0.001062,0.020435,0.020490
0.001142,0.001248,0.001302,0.018283,0.018338
0.000938,0.001053,0.001125,0.023338,0.023398
0.000891,0.000991,0.001048,0.023886,0.023957
0.001301,0.001414,0.001483,0.029052,0.029117
0.001034,0.001152,0.001251,0.025021,0.025077
0.000991,0.001105,0.001176,0.034922,0.034999
0.000983,0.001096,0.001154,0.023044,0.023101
0.001007,0.001134,0.001208,0.025340,0.025401
0.000905,0.001020,0.001086,0.023107,0.023166
0.001188,0.001308,0.001370,0.031771,0.031847
0.000964,0.001100,0.001191,0.029476,0.029542
0.002216,0.002335,0.002400,0.027835,0.027896
0.001060,0.001173,0.001241,0.025512,0.025586
0.001002,0.001105,0.001166,0.027917,0.027976
0.000925,0.001041,0.001106,0.028912,0.028972
0.000956,0.001086,0.001142,0.018832,0.018886
0.001110,0.001228,0.001296,0.030188,0.030252
0.000819,0.000915,0.000974,0.025300,0.025358
0.001001,0.001124,0.001185,0.026358,0.026418
0.000860,0.001000,0.001064,0.022608,0.022690
0.001071,0.001190,0.001251,0.023599,0.023672
0.000775,0.000893,0.000956,0.027296,0.027373
0.001078,0.001207,0.001271,0.022294,0.022365
0.000934,0.001049,0.001106,0.030179,0.030275
0.000987,0.001108,0.001168,0.021794,0.021853
0.001128,0.001253,0.001321,0.027553,0.028127
0.001088,0.001236,0.001300,0.027151,0.027224
0.000866,0.000987,0.001053,0.020522,0.020594
0.001017,0.001112,0.001163,0.023707,0.023777
0.000806,0.000916,0.000985,0.019879,0.019947
0.001007,0.001109,0.001171,0.025453,0.025532
0.000896,0.001003,0.001066,0.031685,0.031748
0.000872,0.000989,0.001058,0.031688,0.031744
0.000925,0.001029,0.001091,0.018717,0.018780
0.000864,0.000984,0.001047,0.022694,0.022759
0.000977,0.001090,0.001153,0.018657,0.018724
